run,iteration,topic,num_rel,num_rel_ret,recip_rank,P_5,P_10,P_20,infAP,ndcg,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,map_cut_5,map_cut_10,map_cut_20,success_1,success_5,success_10
xxxaxxxaaa,1,all,5,4,0.2500,0.2000,0.4000,0.2000,0.2467,0.4532,0.1461,0.4532,0.4532,0.0500,0.2467,0.2467,0.0000,1.0000,1.0000
xxxaxaxaxa,1,all,5,4,0.2500,0.2000,0.4000,0.2000,0.2717,0.4719,0.1461,0.4719,0.4719,0.0500,0.2717,0.2717,0.0000,1.0000,1.0000
axxaaaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.6962,0.8503,0.6164,0.8503,0.8503,0.4200,0.6962,0.6962,1.0000,1.0000,1.0000
aaxxaxx,1,all,5,3,1.0000,0.6000,0.3000,0.1500,0.5200,0.6844,0.6844,0.6844,0.6844,0.5200,0.5200,0.5200,1.0000,1.0000,1.0000
axxaxaxaxx,1,1,5,4,1.0000,0.4000,0.4000,0.2000,0.5000,0.7130,0.4852,0.7130,0.7130,0.3000,0.5000,0.5000,1.0000,1.0000,1.0000
aaaxxaxxxx,1,all,5,4,1.0000,0.6000,0.4000,0.2000,0.7333,0.8435,0.7227,0.8435,0.8435,0.6000,0.7333,0.7333,1.0000,1.0000,1.0000
xxaax,1,1,5,2,0.3333,0.4000,0.2000,0.1000,0.1667,0.3156,0.3156,0.3156,0.3156,0.1667,0.1667,0.1667,0.0000,1.0000,1.0000
axxxxaxxxx,1,all,5,2,1.0000,0.2000,0.2000,0.1000,0.2667,0.4600,0.3392,0.4600,0.4600,0.2000,0.2667,0.2667,1.0000,1.0000,1.0000
aaxxaaax,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7962,0.9182,0.6844,0.9182,0.9182,0.5200,0.7962,0.7962,1.0000,1.0000,1.0000
axaaxxxxxa,1,all,5,4,1.0000,0.6000,0.4000,0.2000,0.5633,0.7528,0.6548,0.7528,0.7528,0.4833,0.5633,0.5633,1.0000,1.0000,1.0000
xaxxaaxaa,1,1,5,5,0.5000,0.4000,0.5000,0.2500,0.4911,0.6751,0.3452,0.6751,0.6751,0.1800,0.4911,0.4911,0.0000,1.0000,1.0000
axaxaaxxa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.6978,0.8629,0.6399,0.8629,0.8629,0.4533,0.6978,0.6978,1.0000,1.0000,1.0000
xxaaaaaa,1,all,5,5,0.3333,0.6000,0.5000,0.2500,0.5629,0.6807,0.4469,0.6807,0.6807,0.2867,0.5629,0.5629,0.0000,1.0000,1.0000
xaaxxaxxxa,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.4133,0.6024,0.3836,0.6024,0.6024,0.2333,0.4133,0.4133,0.0000,1.0000,1.0000
aaaxxaaaxa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.8762,0.9566,0.7227,0.9566,0.9566,0.6000,0.8762,0.8762,1.0000,1.0000,1.0000
axxaxaxxax,1,all,5,4,1.0000,0.4000,0.4000,0.2000,0.4889,0.7081,0.4852,0.7081,0.7081,0.3000,0.4889,0.4889,1.0000,1.0000,1.0000
axaxxaaa,1,all,5,5,1.0000,0.4000,0.5000,0.2500,0.6726,0.8496,0.5087,0.8496,0.8496,0.3333,0.6726,0.6726,1.0000,1.0000,1.0000
aaaaaxaax,1,1,5,5,1.0000,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
axxaaaaxaa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.6962,0.8503,0.6164,0.8503,0.8503,0.4200,0.6962,0.6962,1.0000,1.0000,1.0000
aaaaxxaax,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9429,0.9818,0.8688,0.9818,0.9818,0.8000,0.9429,0.9429,1.0000,1.0000,1.0000
axxaaaxxa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.6644,0.8393,0.6164,0.8393,0.8393,0.4200,0.6644,0.6644,1.0000,1.0000,1.0000
axaaaaxxx,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8100,0.9068,0.7860,0.9068,0.9068,0.6433,0.8100,0.8100,1.0000,1.0000,1.0000
xxxaaaaaaa,1,all,5,5,0.2500,0.4000,0.5000,0.2500,0.4693,0.6181,0.2773,0.6181,0.6181,0.1300,0.4693,0.4693,0.0000,1.0000,1.0000
aaxxaxxxaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7089,0.8845,0.6844,0.8845,0.8845,0.5200,0.7089,0.7089,1.0000,1.0000,1.0000
axxxxaaaax,1,all,5,5,1.0000,0.2000,0.5000,0.2500,0.5635,0.7821,0.3392,0.7821,0.7821,0.2000,0.5635,0.5635,1.0000,1.0000,1.0000
xxaaaaxa,1,1,5,5,0.3333,0.6000,0.5000,0.2500,0.5450,0.6747,0.4469,0.6747,0.6747,0.2867,0.5450,0.5450,0.0000,1.0000,1.0000
aaaaxaxxa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9667,0.9896,0.8688,0.9896,0.9896,0.8000,0.9667,0.9667,1.0000,1.0000,1.0000
aaaxaxaaxx,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9029,0.9670,0.8539,0.9670,0.9670,0.7600,0.9029,0.9029,1.0000,1.0000,1.0000
aaaaaxxaaa,1,1,5,5,1.0000,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
axaaxxaxxa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.6976,0.8659,0.6548,0.8659,0.8659,0.4833,0.6976,0.6976,1.0000,1.0000,1.0000
xaaaxxxaxx,1,1,5,4,0.5000,0.6000,0.4000,0.2000,0.4833,0.6366,0.5296,0.6366,0.6366,0.3833,0.4833,0.4833,0.0000,1.0000,1.0000
xaaxaaaax,1,all,5,5,0.5000,0.6000,0.5000,0.2500,0.6295,0.7486,0.5148,0.7486,0.7486,0.3533,0.6295,0.6295,0.0000,1.0000,1.0000
axaaxxxxa,1,1,5,4,1.0000,0.6000,0.4000,0.2000,0.5722,0.7569,0.6548,0.7569,0.7569,0.4833,0.5722,0.5722,1.0000,1.0000,1.0000
xxaxaaaxxx,1,1,5,4,0.3333,0.4000,0.4000,0.2000,0.3610,0.5346,0.3008,0.5346,0.5346,0.1467,0.3610,0.3610,0.0000,1.0000,1.0000
axxaaaaxx,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.6962,0.8503,0.6164,0.8503,0.8503,0.4200,0.6962,0.6962,1.0000,1.0000,1.0000
xxxaxxxxx,1,all,5,1,0.2500,0.2000,0.1000,0.0500,0.0500,0.1461,0.1461,0.1461,0.1461,0.0500,0.0500,0.0500,0.0000,1.0000,1.0000
aaxxxxaaaa,1,1,5,5,1.0000,0.4000,0.5000,0.2500,0.6968,0.8753,0.5531,0.8753,0.8753,0.4000,0.6968,0.6968,1.0000,1.0000,1.0000
aaxaxxaax,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.7893,0.9193,0.6992,0.9193,0.9193,0.5500,0.7893,0.7893,1.0000,1.0000,1.0000
xaaxaxxa,1,all,5,4,0.5000,0.6000,0.4000,0.2000,0.4533,0.6218,0.5148,0.6218,0.6218,0.3533,0.4533,0.4533,0.0000,1.0000,1.0000
xaaxxxax,1,all,5,3,0.5000,0.4000,0.3000,0.1500,0.3190,0.4966,0.3836,0.4966,0.4966,0.2333,0.3190,0.3190,0.0000,1.0000,1.0000
xaaxaxaax,1,1,5,5,0.5000,0.6000,0.5000,0.2500,0.5926,0.7348,0.5148,0.7348,0.7348,0.3533,0.5926,0.5926,0.0000,1.0000,1.0000
aaaxxaxaa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.8583,0.9505,0.7227,0.9505,0.9505,0.6000,0.8583,0.8583,1.0000,1.0000,1.0000
xaaaxxxax,1,all,5,4,0.5000,0.6000,0.4000,0.2000,0.4833,0.6366,0.5296,0.6366,0.6366,0.3833,0.4833,0.4833,0.0000,1.0000,1.0000
axxaaxxxxa,1,all,5,4,1.0000,0.6000,0.4000,0.2000,0.5000,0.7145,0.6164,0.7145,0.7145,0.4200,0.5000,0.5000,1.0000,1.0000,1.0000
axxxxaxax,1,all,5,3,1.0000,0.2000,0.3000,0.1500,0.3417,0.5670,0.3392,0.5670,0.5670,0.2000,0.3417,0.3417,1.0000,1.0000,1.0000
axaxxaxaax,1,1,5,5,1.0000,0.4000,0.5000,0.2500,0.6444,0.8386,0.5087,0.8386,0.8386,0.3333,0.6444,0.6444,1.0000,1.0000,1.0000
aaaaaxxxxx,1,1,5,5,1.0000,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
axaxxxa,1,1,5,3,1.0000,0.4000,0.3000,0.1500,0.4190,0.6218,0.5087,0.6218,0.6218,0.3333,0.4190,0.4190,1.0000,1.0000,1.0000
xaxxxaxxax,1,all,5,3,0.5000,0.2000,0.3000,0.1500,0.2333,0.4369,0.2140,0.4369,0.4369,0.1000,0.2333,0.2333,0.0000,1.0000,1.0000
aaaxxaaxax,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.8762,0.9566,0.7227,0.9566,0.9566,0.6000,0.8762,0.8762,1.0000,1.0000,1.0000
aaaxxaxxax,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.8444,0.9456,0.7227,0.9456,0.9456,0.6000,0.8444,0.8444,1.0000,1.0000,1.0000
axaaxaaaaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7595,0.8887,0.6548,0.8887,0.8887,0.4833,0.7595,0.7595,1.0000,1.0000,1.0000
axaaxaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7595,0.8887,0.6548,0.8887,0.8887,0.4833,0.7595,0.7595,1.0000,1.0000,1.0000
aaxxaaxxxa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7533,0.9032,0.6844,0.9032,0.9032,0.5200,0.7533,0.7533,1.0000,1.0000,1.0000
xxxaxaax,1,all,5,3,0.2500,0.2000,0.3000,0.1500,0.2024,0.3799,0.1461,0.3799,0.3799,0.0500,0.2024,0.2024,0.0000,1.0000,1.0000
axaaaxaxxx,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.7862,0.8991,0.7860,0.8991,0.8991,0.6433,0.7862,0.7862,1.0000,1.0000,1.0000
aaxaxxx,1,1,5,3,1.0000,0.6000,0.3000,0.1500,0.5500,0.6992,0.6992,0.6992,0.6992,0.5500,0.5500,0.5500,1.0000,1.0000,1.0000
xaaaaaxax,1,all,5,5,0.5000,0.8000,0.5000,0.2500,0.7100,0.7817,0.6608,0.7817,0.7817,0.5433,0.7100,0.7100,0.0000,1.0000,1.0000
xaaaaaax,1,all,5,5,0.5000,0.8000,0.5000,0.2500,0.7100,0.7817,0.6608,0.7817,0.7817,0.5433,0.7100,0.7100,0.0000,1.0000,1.0000
axxaaaxxxa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.6533,0.8353,0.6164,0.8353,0.8353,0.4200,0.6533,0.6533,1.0000,1.0000,1.0000
xxxxxxxax,1,all,5,1,0.1250,0.0000,0.1000,0.0500,0.0250,0.1070,0.0000,0.1070,0.1070,0.0000,0.0250,0.0250,0.0000,0.0000,1.0000
axaxaxxaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.6644,0.8490,0.6399,0.8490,0.8490,0.4533,0.6644,0.6644,1.0000,1.0000,1.0000
axaxaaaxaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7295,0.8738,0.6399,0.8738,0.8738,0.4533,0.7295,0.7295,1.0000,1.0000,1.0000
axxaa,1,all,5,3,1.0000,0.6000,0.3000,0.1500,0.4200,0.6164,0.6164,0.6164,0.6164,0.4200,0.4200,0.4200,1.0000,1.0000,1.0000
aaxxaxxaaa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.7311,0.8934,0.6844,0.8934,0.8934,0.5200,0.7311,0.7311,1.0000,1.0000,1.0000
xaxaaaxxx,1,1,5,4,0.5000,0.6000,0.4000,0.2000,0.4533,0.6121,0.4913,0.6121,0.6121,0.3200,0.4533,0.4533,0.0000,1.0000,1.0000
aaaaaaa,1,all,5,5,1.0000,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
axaaxxax,1,1,5,4,1.0000,0.6000,0.4000,0.2000,0.5976,0.7679,0.6548,0.7679,0.7679,0.4833,0.5976,0.5976,1.0000,1.0000,1.0000
xaaxxxaxx,1,all,5,3,0.5000,0.4000,0.3000,0.1500,0.3190,0.4966,0.3836,0.4966,0.4966,0.2333,0.3190,0.3190,0.0000,1.0000,1.0000
aaaxaaxaxa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9267,0.9747,0.8539,0.9747,0.9747,0.7600,0.9267,0.9267,1.0000,1.0000,1.0000
axxaxaaaax,1,all,5,5,1.0000,0.4000,0.5000,0.2500,0.6393,0.8261,0.4852,0.8261,0.8261,0.3000,0.6393,0.6393,1.0000,1.0000,1.0000
xxaaxa,1,all,5,3,0.3333,0.4000,0.3000,0.1500,0.2667,0.4365,0.3156,0.4365,0.4365,0.1667,0.2667,0.2667,0.0000,1.0000,1.0000
xxxxxaxaxx,1,all,5,2,0.1667,0.0000,0.2000,0.1000,0.0833,0.2278,0.0000,0.2278,0.2278,0.0000,0.0833,0.0833,0.0000,0.0000,1.0000
xxxaxaxaxx,1,all,5,3,0.2500,0.2000,0.3000,0.1500,0.1917,0.3739,0.1461,0.3739,0.3739,0.0500,0.1917,0.1917,0.0000,1.0000,1.0000
xxaaaxxxxx,1,1,5,3,0.3333,0.6000,0.3000,0.1500,0.2867,0.4469,0.4469,0.4469,0.4469,0.2867,0.2867,0.2867,0.0000,1.0000,1.0000
xaxxaaxaa,1,all,5,5,0.5000,0.4000,0.5000,0.2500,0.4911,0.6751,0.3452,0.6751,0.6751,0.1800,0.4911,0.4911,0.0000,1.0000,1.0000
xxxxaxaxaa,1,1,5,4,0.2000,0.2000,0.4000,0.2000,0.2438,0.4444,0.1312,0.4444,0.4444,0.0400,0.2438,0.2438,0.0000,1.0000,1.0000
aaaxxxa,1,1,5,4,1.0000,0.6000,0.4000,0.2000,0.7143,0.8358,0.7227,0.8358,0.8358,0.6000,0.7143,0.7143,1.0000,1.0000,1.0000
axxxxx,1,1,5,1,1.0000,0.2000,0.1000,0.0500,0.2000,0.3392,0.3392,0.3392,0.3392,0.2000,0.2000,0.2000,1.0000,1.0000,1.0000
aaaaxaxaaa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9667,0.9896,0.8688,0.9896,0.9896,0.8000,0.9667,0.9667,1.0000,1.0000,1.0000
aaaxa,1,1,5,4,1.0000,0.8000,0.4000,0.2000,0.7600,0.8539,0.8539,0.8539,0.8539,0.7600,0.7600,0.7600,1.0000,1.0000,1.0000
axxxxxaaxa,1,all,5,4,1.0000,0.2000,0.4000,0.2000,0.4121,0.6572,0.3392,0.6572,0.6572,0.2000,0.4121,0.4121,1.0000,1.0000,1.0000
axxaxaxx,1,all,5,3,1.0000,0.4000,0.3000,0.1500,0.4000,0.6060,0.4852,0.6060,0.6060,0.3000,0.4000,0.4000,1.0000,1.0000,1.0000
xaxaxaaxxx,1,1,5,4,0.5000,0.4000,0.4000,0.2000,0.4143,0.5939,0.3601,0.5939,0.5939,0.2000,0.4143,0.4143,0.0000,1.0000,1.0000
aaaxaax,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9267,0.9747,0.8539,0.9747,0.9747,0.7600,0.9267,0.9267,1.0000,1.0000,1.0000
xxaxxxxaax,1,all,5,3,0.3333,0.2000,0.3000,0.1500,0.1833,0.3787,0.1696,0.3787,0.3787,0.0667,0.1833,0.1833,0.0000,1.0000,1.0000
aaxaaaxa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8767,0.9512,0.8304,0.9512,0.9512,0.7100,0.8767,0.8767,1.0000,1.0000,1.0000
xaxxxaxxaa,1,1,5,4,0.5000,0.2000,0.4000,0.2000,0.3133,0.5349,0.2140,0.5349,0.5349,0.1000,0.3133,0.3133,0.0000,1.0000,1.0000
axaaaxxxx,1,all,5,4,1.0000,0.8000,0.4000,0.2000,0.6433,0.7860,0.7860,0.7860,0.7860,0.6433,0.6433,0.6433,1.0000,1.0000,1.0000
axaaxxxaaa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.6944,0.8639,0.6548,0.8639,0.8639,0.4833,0.6944,0.6944,1.0000,1.0000,1.0000
xxaxxx,1,1,5,1,0.3333,0.2000,0.1000,0.0500,0.0667,0.1696,0.1696,0.1696,0.1696,0.0667,0.0667,0.0667,0.0000,1.0000,1.0000
axaxa,1,all,5,3,1.0000,0.6000,0.3000,0.1500,0.4533,0.6399,0.6399,0.6399,0.6399,0.4533,0.4533,0.4533,1.0000,1.0000,1.0000
aaaa,1,1,5,4,1.0000,0.8000,0.4000,0.2000,0.8000,0.8688,0.8688,0.8688,0.8688,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000
aaxaaxxa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.8350,0.9374,0.8304,0.9374,0.9374,0.7100,0.8350,0.8350,1.0000,1.0000,1.0000
axxaxaxaa,1,1,5,5,1.0000,0.4000,0.5000,0.2500,0.6111,0.8151,0.4852,0.8151,0.8151,0.3000,0.6111,0.6111,1.0000,1.0000,1.0000
xaaaaaaax,1,1,5,5,0.5000,0.8000,0.5000,0.2500,0.7100,0.7817,0.6608,0.7817,0.7817,0.5433,0.7100,0.7100,0.0000,1.0000,1.0000
xxxxxaxax,1,1,5,2,0.1667,0.0000,0.2000,0.1000,0.0833,0.2278,0.0000,0.2278,0.2278,0.0000,0.0833,0.0833,0.0000,0.0000,1.0000
xxxaaxxaxx,1,all,5,3,0.2500,0.4000,0.3000,0.1500,0.2050,0.3843,0.2773,0.3843,0.3843,0.1300,0.2050,0.2050,0.0000,1.0000,1.0000
xaaxaxaxaa,1,all,5,5,0.5000,0.6000,0.5000,0.2500,0.5787,0.7299,0.5148,0.7299,0.7299,0.3533,0.5787,0.5787,0.0000,1.0000,1.0000
xaxxaaax,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.3943,0.5791,0.3452,0.5791,0.5791,0.1800,0.3943,0.3943,0.0000,1.0000,1.0000
axxxaaaa,1,all,5,5,1.0000,0.4000,0.5000,0.2500,0.6193,0.8112,0.4704,0.8112,0.8112,0.2800,0.6193,0.6193,1.0000,1.0000,1.0000
xaxxaxx,1,all,5,2,0.5000,0.4000,0.2000,0.1000,0.1800,0.3452,0.3452,0.3452,0.3452,0.1800,0.1800,0.1800,0.0000,1.0000,1.0000
axxaxaxxax,1,1,5,4,1.0000,0.4000,0.4000,0.2000,0.4889,0.7081,0.4852,0.7081,0.7081,0.3000,0.4889,0.4889,1.0000,1.0000,1.0000
xaaaaxaxxx,1,all,5,5,0.5000,0.8000,0.5000,0.2500,0.6862,0.7739,0.6608,0.7739,0.7739,0.5433,0.6862,0.6862,0.0000,1.0000,1.0000
xxxxaxxaa,1,1,5,3,0.2000,0.2000,0.3000,0.1500,0.1567,0.3403,0.1312,0.3403,0.3403,0.0400,0.1567,0.1567,0.0000,1.0000,1.0000
axxxaxaxxx,1,1,5,3,1.0000,0.4000,0.3000,0.1500,0.3657,0.5834,0.4704,0.5834,0.5834,0.2800,0.3657,0.3657,1.0000,1.0000,1.0000
xaaxxaaxxx,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.4476,0.6174,0.3836,0.6174,0.6174,0.2333,0.4476,0.4476,0.0000,1.0000,1.0000
xaxxaxaaxx,1,1,5,4,0.5000,0.4000,0.4000,0.2000,0.3657,0.5652,0.3452,0.5652,0.5652,0.1800,0.3657,0.3657,0.0000,1.0000,1.0000
xaaxxaxaxa,1,all,5,5,0.5000,0.4000,0.5000,0.2500,0.5333,0.7094,0.3836,0.7094,0.7094,0.2333,0.5333,0.5333,0.0000,1.0000,1.0000
xaxxaxaaxx,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.3657,0.5652,0.3452,0.5652,0.5652,0.1800,0.3657,0.3657,0.0000,1.0000,1.0000
xxxxaxaaaa,1,1,5,5,0.2000,0.2000,0.5000,0.2500,0.3610,0.5514,0.1312,0.5514,0.5514,0.0400,0.3610,0.3610,0.0000,1.0000,1.0000
xxaaxaaaa,1,1,5,5,0.3333,0.4000,0.5000,0.2500,0.5060,0.6565,0.3156,0.6565,0.6565,0.1667,0.5060,0.5060,0.0000,1.0000,1.0000
xxaxaaaa,1,all,5,5,0.3333,0.4000,0.5000,0.2500,0.4860,0.6416,0.3008,0.6416,0.6416,0.1467,0.4860,0.4860,0.0000,1.0000,1.0000
aaxxxxaaxx,1,1,5,4,1.0000,0.4000,0.4000,0.2000,0.5857,0.7732,0.5531,0.7732,0.7732,0.4000,0.5857,0.5857,1.0000,1.0000,1.0000
xxxxaaaaxa,1,1,5,5,0.2000,0.2000,0.5000,0.2500,0.3924,0.5701,0.1312,0.5701,0.5701,0.0400,0.3924,0.3924,0.0000,1.0000,1.0000
xxaaxaxaxa,1,1,5,5,0.3333,0.4000,0.5000,0.2500,0.4667,0.6415,0.3156,0.6415,0.6415,0.1667,0.4667,0.4667,0.0000,1.0000,1.0000
xxxaxxxxax,1,1,5,2,0.2500,0.2000,0.2000,0.1000,0.0944,0.2482,0.1461,0.2482,0.2482,0.0500,0.0944,0.0944,0.0000,1.0000,1.0000
xaxxaaaxxx,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.3943,0.5791,0.3452,0.5791,0.5791,0.1800,0.3943,0.3943,0.0000,1.0000,1.0000
xaxxaaxaax,1,1,5,5,0.5000,0.4000,0.5000,0.2500,0.4911,0.6751,0.3452,0.6751,0.6751,0.1800,0.4911,0.4911,0.0000,1.0000,1.0000
xxxaxaa,1,1,5,3,0.2500,0.2000,0.3000,0.1500,0.2024,0.3799,0.1461,0.3799,0.3799,0.0500,0.2024,0.2024,0.0000,1.0000,1.0000
axaxxaaaax,1,1,5,5,1.0000,0.4000,0.5000,0.2500,0.6726,0.8496,0.5087,0.8496,0.8496,0.3333,0.6726,0.6726,1.0000,1.0000,1.0000
xaaaxxaxxa,1,1,5,5,0.5000,0.6000,0.5000,0.2500,0.5976,0.7407,0.5296,0.7407,0.7407,0.3833,0.5976,0.5976,0.0000,1.0000,1.0000
xxxaxa,1,all,5,2,0.2500,0.2000,0.2000,0.1000,0.1167,0.2669,0.1461,0.2669,0.2669,0.0500,0.1167,0.1167,0.0000,1.0000,1.0000
xaaxaaaa,1,1,5,5,0.5000,0.6000,0.5000,0.2500,0.6295,0.7486,0.5148,0.7486,0.7486,0.3533,0.6295,0.6295,0.0000,1.0000,1.0000
xaaxxaxaaa,1,1,5,5,0.5000,0.4000,0.5000,0.2500,0.5444,0.7135,0.3836,0.7135,0.7135,0.2333,0.5444,0.5444,0.0000,1.0000,1.0000
xxxxxxa,1,all,5,1,0.1429,0.0000,0.1000,0.0500,0.0286,0.1131,0.0000,0.1131,0.1131,0.0000,0.0286,0.0286,0.0000,0.0000,1.0000
xaxaaaaax,1,all,5,5,0.5000,0.6000,0.5000,0.2500,0.5962,0.7251,0.4913,0.7251,0.7251,0.3200,0.5962,0.5962,0.0000,1.0000,1.0000
xaxaaxaxa,1,all,5,5,0.5000,0.6000,0.5000,0.2500,0.5454,0.7064,0.4913,0.7064,0.7064,0.3200,0.5454,0.5454,0.0000,1.0000,1.0000
axaxxaxax,1,all,5,4,1.0000,0.4000,0.4000,0.2000,0.5333,0.7365,0.5087,0.7365,0.7365,0.3333,0.5333,0.5333,1.0000,1.0000,1.0000
xxxxxaxxxx,1,all,5,1,0.1667,0.0000,0.1000,0.0500,0.0333,0.1208,0.0000,0.1208,0.1208,0.0000,0.0333,0.0333,0.0000,0.0000,1.0000
xaxxaxxaax,1,1,5,4,0.5000,0.4000,0.4000,0.2000,0.3439,0.5543,0.3452,0.5543,0.5543,0.1800,0.3439,0.3439,0.0000,1.0000,1.0000
aaxxxaxxax,1,1,5,4,1.0000,0.4000,0.4000,0.2000,0.5889,0.7761,0.5531,0.7761,0.7761,0.4000,0.5889,0.5889,1.0000,1.0000,1.0000
xaxxxaxa,1,all,5,3,0.5000,0.2000,0.3000,0.1500,0.2417,0.4418,0.2140,0.4418,0.4418,0.1000,0.2417,0.2417,0.0000,1.0000,1.0000
axaaxaxaax,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7417,0.8826,0.6548,0.8826,0.8826,0.4833,0.7417,0.7417,1.0000,1.0000,1.0000
aaaxaaax,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9267,0.9747,0.8539,0.9747,0.9747,0.7600,0.9267,0.9267,1.0000,1.0000,1.0000
axaxaaaxax,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.7295,0.8738,0.6399,0.8738,0.8738,0.4533,0.7295,0.7295,1.0000,1.0000,1.0000
xaxxax,1,1,5,2,0.5000,0.4000,0.2000,0.1000,0.1800,0.3452,0.3452,0.3452,0.3452,0.1800,0.1800,0.1800,0.0000,1.0000,1.0000
aaaaxaaaa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9667,0.9896,0.8688,0.9896,0.9896,0.8000,0.9667,0.9667,1.0000,1.0000,1.0000
xxaaxxaa,1,1,5,4,0.3333,0.4000,0.4000,0.2000,0.3524,0.5357,0.3156,0.5357,0.5357,0.1667,0.3524,0.3524,0.0000,1.0000,1.0000
xxxaxxxa,1,1,5,2,0.2500,0.2000,0.2000,0.1000,0.1000,0.2531,0.1461,0.2531,0.2531,0.0500,0.1000,0.1000,0.0000,1.0000,1.0000
xaaa,1,all,5,3,0.5000,0.6000,0.3000,0.1500,0.3833,0.5296,0.5296,0.5296,0.5296,0.3833,0.3833,0.3833,0.0000,1.0000,1.0000
xxaxxa,1,all,5,2,0.3333,0.2000,0.2000,0.1000,0.1333,0.2904,0.1696,0.2904,0.2904,0.0667,0.1333,0.1333,0.0000,1.0000,1.0000
xaaxxxxaxx,1,all,5,3,0.5000,0.4000,0.3000,0.1500,0.3083,0.4906,0.3836,0.4906,0.4906,0.2333,0.3083,0.3083,0.0000,1.0000,1.0000
aaaxxaxx,1,1,5,4,1.0000,0.6000,0.4000,0.2000,0.7333,0.8435,0.7227,0.8435,0.8435,0.6000,0.7333,0.7333,1.0000,1.0000,1.0000
xaaaaxxaaa,1,all,5,5,0.5000,0.8000,0.5000,0.2500,0.6683,0.7678,0.6608,0.7678,0.7678,0.5433,0.6683,0.6683,0.0000,1.0000,1.0000
xxaxxaxaxa,1,1,5,4,0.3333,0.2000,0.4000,0.2000,0.2883,0.4954,0.1696,0.4954,0.4954,0.0667,0.2883,0.2883,0.0000,1.0000,1.0000
axaaxaaaxa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7595,0.8887,0.6548,0.8887,0.8887,0.4833,0.7595,0.7595,1.0000,1.0000,1.0000
xaaxaaxxxx,1,1,5,4,0.5000,0.6000,0.4000,0.2000,0.4867,0.6356,0.5148,0.6356,0.6356,0.3533,0.4867,0.4867,0.0000,1.0000,1.0000
aaxxxx,1,1,5,2,1.0000,0.4000,0.2000,0.1000,0.4000,0.5531,0.5531,0.5531,0.5531,0.4000,0.4000,0.4000,1.0000,1.0000,1.0000
xaaaxa,1,all,5,4,0.5000,0.6000,0.4000,0.2000,0.5167,0.6504,0.5296,0.6504,0.6504,0.3833,0.5167,0.5167,0.0000,1.0000,1.0000
