,run,iteration,topic,rbu_0.800_0.001,rbu_0.800_0.050,rbu_0.800_0.100,rbu_0.800_0.500,rbu_0.900_0.001,rbu_0.900_0.050,rbu_0.900_0.100,rbu_0.900_0.500,rbu_0.990_0.001,rbu_0.990_0.050,rbu_0.990_0.100,rbu_0.990_0.500,alpha-DCG,NRBP,strec,ERR-IA,alpha-nDCG,nNRBP,MAP-IA,nERR-IA,P-IA,act,nct,nsDCG,p,rtime,ntime,ttime,nEU
3508,galago_baseline,9,52,0.0290485104394,-0.166942952557,-0.366934241328,-1.9668645515,0.151452947292,-0.285698020774,-0.731770437169,-4.30034976832,0.619412931421,-1.14545127568,-2.94633311967,-17.3533878715,0.235706,0.000212,1.0,0.067951,0.320174,0.000363,0.020072,0.105709,0.055556,0.0462661,0.4577703,0.1938514,0.2,0.1111111,-9.0,-462.59784,0.999998
3509,galago_baseline,9,24,0.40210274866,0.206111285664,0.00611999689291,-1.59381031328,0.51047737151,0.0733264034436,-0.372746012951,-3.94132534411,0.682823338135,-1.08204086897,-2.88292271295,-17.2899774648,0.754668,0.651636,1.0,0.695768,0.947392,0.918028,0.427092,0.931796,0.17037,0.2187246,0.7802083,0.7127407,0.4666667,0.1111111,-9.0,-386.2062,0.9999987
3510,galago_baseline,9,25,0.395586027458,0.199594564462,-0.00039672430925,-1.60032703448,0.534956675458,0.0978057073919,-0.348266709003,-3.91684604016,0.719247485633,-1.04561672147,-2.84649856546,-17.2535533173,0.812753,0.768357,1.0,0.774846,0.874797,0.819829,0.563175,0.82563,0.125926,0.1694674,0.6586746,0.6726151,0.2444444,0.1111111,-9.0,-426.57822,0.9999991
3511,galago_baseline,9,26,0.796000174225,0.600008711229,0.400017422457,-1.19991288771,0.891078551672,0.453927583606,0.00785516721128,-3.56072416394,0.95398236312,-0.810881843984,-2.61176368797,-17.0188184398,0.988676,0.99099,1.0,0.988983,0.990136,0.991005,0.683938,0.98955,0.155556,0.1702989,0.5828125,0.7548627,0.1555556,0.1111111,-9.0,-445.32162,0.9999997
3512,galago_baseline,9,27,0.202961408718,0.00696994572171,-0.19302134305,-1.79295165322,0.312665123563,-0.124485844504,-0.570558260898,-4.13913759205,0.66636077864,-1.09850342846,-2.89938527245,-17.3064400243,0.446688,0.203075,1.0,0.289553,0.727814,0.559586,0.024783,0.628447,0.111111,0.0918608,0.5294922,0.3878288,0.4444444,0.1111111,-9.0,-334.89,0.9999933
3513,galago_baseline,9,20,0.356155019324,0.160163556328,-0.0398277324437,-1.63975804261,0.514604847589,0.0774538795227,-0.368618536872,-3.93719786803,0.830172140247,-0.934692066857,-2.73557391084,-17.1426286627,0.683228,0.493226,1.0,0.561401,0.69194,0.50078,0.257273,0.569283,0.162963,0.1974796,0.8357422,0.5638197,0.3777778,0.1111111,-9.0,-342.53478,0.9999986
3514,galago_baseline,9,21,0.521400851774,0.325409388778,0.125418100007,-1.47451221016,0.680174051574,0.243023083508,-0.203049332886,-3.77162866404,0.8939283863,-0.870935820804,-2.67181766479,-17.0788724167,0.834905,0.746216,1.0,0.784145,0.920187,0.869072,0.487919,0.89524,0.164444,0.2101477,0.8257324,0.704304,0.3777778,0.1111111,-9.0,-608.73318,0.999998
3515,galago_baseline,9,22,0.372988803666,0.17699734067,-0.0229939481016,-1.62292425827,0.587657694296,0.150506726229,-0.295565690165,-3.86414502132,0.893227881474,-0.871636325631,-2.67251816961,-17.0795729215,0.703639,0.485981,1.0,0.576496,0.710934,0.493322,0.282069,0.583915,0.311111,0.1728905,0.7092214,0.5560333,0.6666667,0.1111111,-9.0,-334.89,0.9999954
3516,galago_baseline,9,49,0.255044951161,0.0590534881651,-0.140937800606,-1.74086811078,0.309327657594,-0.127823310473,-0.573895726867,-4.14247505802,0.559168853934,-1.20569535317,-3.00657719715,-17.413631949,0.445463,0.375305,0.833333,0.387837,0.535237,0.513223,0.029645,0.503924,0.074074,0.1128214,0.6671025,0.3473067,0.2444444,0.1111111,-9.0,-541.95192,0.9999931
3517,galago_baseline,9,46,0.220011908925,0.0240914159705,-0.175827454391,-1.77517841728,0.388347371699,-0.0416137125236,-0.480349512751,-3.99023591457,0.688255449453,-0.750319782104,-2.21825369186,-13.9617249699,0.484702,0.275713,1.0,0.369702,0.803022,0.593963,0.226047,0.710499,0.103704,0.1745688,0.963927,0.6174058,0.4,0.1428571,-7.0,-374.97322,0.999999
