,run,iteration,topic,rbu_0.800_0.001,rbu_0.800_0.050,rbu_0.800_0.100,rbu_0.800_0.500,rbu_0.900_0.001,rbu_0.900_0.050,rbu_0.900_0.100,rbu_0.900_0.500,rbu_0.990_0.001,rbu_0.990_0.050,rbu_0.990_0.100,rbu_0.990_0.500,alpha-DCG,NRBP,strec,ERR-IA,alpha-nDCG,nNRBP,MAP-IA,nERR-IA,P-IA,act,nct,nsDCG,p,rtime,ntime,ttime,nEU
1657,GT_TenthIterBaseline,10,39,0.207916567541,0.0119193649469,-0.188077780558,-1.78805494459,0.40318686465,-0.0355403204834,-0.48322112164,-4.06466753089,0.712822113954,-1.20329345436,-3.15851342203,-18.8002731634,0.273435,0.035914,1.0,0.139308,0.312146,0.038958,0.087788,0.153803,0.035,0.1212209,0.615625,0.1548253,0.1,0.1,-10.0,-494.0023,0.9847486
1658,GT_TenthIterBaseline,10,38,0.214453390423,0.0184561878287,-0.181540957676,-1.78151812171,0.384706383977,-0.0540208011567,-0.501701602313,-4.08314801157,0.594888967247,-1.32122660107,-3.27644656874,-18.9182063101,0.167517,0.03125,0.666667,0.09618,0.213087,0.035714,0.066667,0.114286,0.013333,0.0567725,0.3333333,0.1570591,0.02,0.1,-10.0,-425.54326,0.9943182
1659,GT_TenthIterBaseline,10,15,0.238082759312,0.0420855567176,-0.157911588787,-1.75788875282,0.367676943977,-0.0710502411567,-0.518731042313,-4.10017745157,0.514715706941,-1.40139986137,-3.35661982904,-18.9983795704,0.346421,0.154688,0.8,0.233579,0.395997,0.187703,0.07105,0.276212,0.032,0.150654,0.64,0.0824625,0.04,0.1,-10.0,-422.69314,0.9116177
1660,GT_TenthIterBaseline,10,48,0.12400005709,-0.0719971455046,-0.271994291009,-1.87197145505,0.173296383977,-0.265430801157,-0.713111602313,-4.29455801157,0.203470350647,-1.71264521767,-3.66786518534,-19.3096249267,0.162385,0.09375,0.5,0.120225,0.259983,0.171604,0.097222,0.208129,0.01,0.0289025,0.1777778,0.1232216,0.02,0.1,-10.0,-420.55906,0.9881165
1661,GT_TenthIterBaseline,10,17,0.120809277635,-0.0751879249591,-0.275185070464,-1.8751622345,0.192059076881,-0.246668108253,-0.69434890941,-4.27579531866,0.300824573241,-1.61529099507,-3.57051096274,-19.2122707041,0.400476,0.343719,0.545455,0.363019,0.441023,0.403491,0.017783,0.416109,0.054545,0.0865895,0.365625,0.1396312,0.14,0.1,-10.0,-460.25014,0.6519268
1662,GT_TenthIterBaseline,10,16,0.0157466944523,-0.180250508142,-0.380247653647,-1.98022481768,0.0398619467198,-0.398865238414,-0.84654603957,-4.42799244882,0.0797774486962,-1.83633811962,-3.79155808729,-19.4333178286,0.192619,0.017338,0.666667,0.08999,0.274857,0.031691,0.023741,0.146866,0.026667,0.0644559,0.4008621,0.0237451,0.12,0.1,-10.0,-785.38846,0.794933
1663,GT_TenthIterBaseline,10,33,-0.00399994291009,-0.199997145505,-0.399994291009,-1.99997145505,-0.00895361602313,-0.447680801157,-0.895361602313,-4.47680801157,-0.0391043993534,-1.95521996767,-3.91043993534,-19.5521996767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-10.0,-424.70086,0.9655818
1664,GT_TenthIterBaseline,10,32,-0.00399994291009,-0.199997145505,-0.399994291009,-1.99997145505,-0.00895361602313,-0.447680801157,-0.895361602313,-4.47680801157,-0.0391043993534,-1.95521996767,-3.91043993534,-19.5521996767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-10.0,-500.8468,0.9791424
1665,GT_TenthIterBaseline,10,31,0.170628628518,-0.025368574076,-0.225365719581,-1.82534288362,0.216978526834,-0.2217486583,-0.669429459456,-4.25087586871,0.240227601004,-1.67588796731,-3.63110793498,-19.2728676763,0.215598,0.174107,0.571429,0.180337,0.318767,0.304275,0.082143,0.29153,0.011429,0.0612336,0.2758621,0.1648784,0.04,0.1,-10.0,-404.41306,0.9731521
1666,GT_TenthIterBaseline,10,49,0.19600005709,2.85449538538e-06,-0.199994291009,-1.79997145505,0.216046383977,-0.222680801157,-0.670361602313,-4.25180801157,0.208395600647,-1.70771996767,-3.66293993534,-19.3046996767,0.32477,0.375,0.5,0.360674,0.397065,0.428811,0.1,0.420684,0.01,0.0439345,0.1875,0.191404,0.02,0.1,-10.0,-520.3975,0.9912993
1667,GT_TenthIterBaseline,10,51,0.262666723757,0.0666695211621,-0.133327624343,-1.73330478838,0.291046383977,-0.147680801157,-0.595361602313,-4.17680801157,0.290895600647,-1.62521996767,-3.58043993534,-19.2221996767,0.258393,0.257813,0.333333,0.264494,0.330445,0.363303,0.155556,0.356909,0.013333,0.059461,0.2241379,0.1417404,0.04,0.1,-10.0,-476.5576,0.9871088
