iteration,dimensions,metric,mu,m_ij,set_ij,m_set_ij
10,p,act,0.6556490067359526,11090.0,12460.0,9779.0
10,p,nct,0.6922117647684284,11090.0,12460.0,10030.0
10,p,nEU,0.33736766435007065,11090.0,12460.0,7843.0
10,p,nsDCG,0.7113584393222401,11090.0,12460.0,10164.0
10,p,alpha-nDCG,0.6719325849153585,11090.0,12460.0,9890.0
10,p,nERR-IA,0.6587438131588185,11090.0,12460.0,9800.0
10,p,rbu_0.800_0.001,0.5650847059445733,11090.0,12460.0,9184.0
10,p,rbu_0.800_0.050,0.5376492826208455,11090.0,12460.0,9011.0
10,p,rbu_0.800_0.100,0.507067824361103,11090.0,12460.0,8822.0
10,p,rbu_0.800_0.500,0.3663226926144873,11090.0,12460.0,8002.0
10,p,rbu_0.900_0.001,0.6010763843073296,11090.0,12460.0,9416.0
10,p,rbu_0.900_0.050,0.5275273203280041,11090.0,12460.0,8948.0
10,p,rbu_0.900_0.100,0.43789630902253546,11090.0,12460.0,8409.0
10,p,rbu_0.900_0.500,0.22453991283836922,11090.0,12460.0,7253.0
10,p,rbu_0.990_0.001,0.6443929365883788,11090.0,12460.0,9703.0
10,p,rbu_0.990_0.050,0.33534282887258043,11090.0,12460.0,7832.0
10,p,rbu_0.990_0.100,0.2620401193280369,11090.0,12460.0,7444.0
10,p,rbu_0.990_0.500,0.20511545132079345,11090.0,12460.0,7156.0
10,strec,act,0.4580975169485931,11090.0,15605.0,10680.0
10,strec,nct,0.4194919302550027,11090.0,15605.0,10398.0
10,strec,nEU,0.16359918256188352,11090.0,15605.0,8708.0
10,strec,nsDCG,0.5859904309683872,11090.0,15605.0,11670.0
10,strec,alpha-nDCG,0.5994029340253463,11090.0,15605.0,11779.0
10,strec,nERR-IA,0.5501934369001591,11090.0,15605.0,11384.0
10,strec,rbu_0.800_0.001,0.4464332836710625,11090.0,15605.0,10594.0
10,strec,rbu_0.800_0.050,0.3679389253229457,11090.0,15605.0,10033.0
10,strec,rbu_0.800_0.100,0.32547575821412505,11090.0,15605.0,9742.0
10,strec,rbu_0.800_0.500,0.12140375366525478,11090.0,15605.0,8457.0
10,strec,rbu_0.900_0.001,0.4881756399017897,11090.0,15605.0,10905.0
10,strec,rbu_0.900_0.050,0.2905514051965048,11090.0,15605.0,9509.0
10,strec,rbu_0.900_0.100,0.17037590312508616,11090.0,15605.0,8749.0
10,strec,rbu_0.900_0.500,-0.06887934359905741,11090.0,15605.0,7412.0
10,strec,rbu_0.990_0.001,0.5329826261063748,11090.0,15605.0,11249.0
10,strec,rbu_0.990_0.050,0.04233939076121538,11090.0,15605.0,8006.0
10,strec,rbu_0.990_0.100,-0.03768680374190388,11090.0,15605.0,7574.0
10,strec,rbu_0.990_0.500,-0.09262552342990306,11090.0,15605.0,7291.0
10,rtime,act,0.22701382179593654,11090.0,13315.0,7764.0
10,rtime,nct,0.4548113879001206,11090.0,13315.0,9092.0
10,rtime,nEU,0.1982997238673681,11090.0,13315.0,7611.0
10,rtime,nsDCG,-0.22821976643014563,11090.0,13315.0,5663.0
10,rtime,alpha-nDCG,-0.1678492366332076,11090.0,13315.0,5905.0
10,rtime,nERR-IA,-0.09171245907492158,11090.0,13315.0,6225.0
10,rtime,rbu_0.800_0.001,-0.0578136355055835,11090.0,13315.0,6373.0
10,rtime,rbu_0.800_0.050,0.12400979423727718,11090.0,13315.0,7229.0
10,rtime,rbu_0.800_0.100,0.2150721495518987,11090.0,13315.0,7700.0
10,rtime,rbu_0.800_0.500,0.5333983824850015,11090.0,13315.0,9601.0
10,rtime,rbu_0.900_0.001,-0.1117826264153901,11090.0,13315.0,6139.0
10,rtime,rbu_0.900_0.050,0.35461818667870737,11090.0,13315.0,8482.0
10,rtime,rbu_0.900_0.100,0.5308416118710586,11090.0,13315.0,9584.0
10,rtime,rbu_0.900_0.500,0.7691027907211642,11090.0,13315.0,11305.0
10,rtime,rbu_0.990_0.001,-0.14314163239125746,11090.0,13315.0,6007.0
10,rtime,rbu_0.990_0.050,0.694060758342794,11090.0,13315.0,10732.0
10,rtime,rbu_0.990_0.100,0.7575714190559076,11090.0,13315.0,11215.0
10,rtime,rbu_0.990_0.500,0.7931482646878152,11090.0,13315.0,11495.0
10,ntime,act,0.22701382179593654,11090.0,13315.0,7764.0
10,ntime,nct,0.4548113879001206,11090.0,13315.0,9092.0
10,ntime,nEU,0.1982997238673681,11090.0,13315.0,7611.0
10,ntime,nsDCG,-0.22821976643014563,11090.0,13315.0,5663.0
10,ntime,alpha-nDCG,-0.1678492366332076,11090.0,13315.0,5905.0
10,ntime,nERR-IA,-0.09171245907492158,11090.0,13315.0,6225.0
10,ntime,rbu_0.800_0.001,-0.0578136355055835,11090.0,13315.0,6373.0
10,ntime,rbu_0.800_0.050,0.12400979423727718,11090.0,13315.0,7229.0
10,ntime,rbu_0.800_0.100,0.2150721495518987,11090.0,13315.0,7700.0
10,ntime,rbu_0.800_0.500,0.5333983824850015,11090.0,13315.0,9601.0
10,ntime,rbu_0.900_0.001,-0.1117826264153901,11090.0,13315.0,6139.0
10,ntime,rbu_0.900_0.050,0.35461818667870737,11090.0,13315.0,8482.0
10,ntime,rbu_0.900_0.100,0.5308416118710586,11090.0,13315.0,9584.0
10,ntime,rbu_0.900_0.500,0.7691027907211642,11090.0,13315.0,11305.0
10,ntime,rbu_0.990_0.001,-0.14314163239125746,11090.0,13315.0,6007.0
10,ntime,rbu_0.990_0.050,0.694060758342794,11090.0,13315.0,10732.0
10,ntime,rbu_0.990_0.100,0.7575714190559076,11090.0,13315.0,11215.0
10,ntime,rbu_0.990_0.500,0.7931482646878152,11090.0,13315.0,11495.0
