iteration,dimensions,metric,mu,m_ij,set_ij,m_set_ij
1,strec+p,nERR-IA,0.8715366083275998,58528.0,73467.0,67208.0
1,strec+p,rbu_0.990_0.050,0.8677966599106358,58528.0,73467.0,67034.0
1,strec+ttime,act,0.5399564874350347,58528.0,41859.0,30430.0
1,strec+ttime,nct,0.6521988875800075,58528.0,41859.0,32892.0
1,strec+ttime,nEU,0.5155241095851263,58528.0,41859.0,29919.0
1,strec+ttime,nsDCG,0.5156687624193471,58528.0,41859.0,29922.0
1,strec+ttime,alpha-nDCG,0.7056293741990927,58528.0,41859.0,34133.0
1,strec+ttime,nERR-IA,0.6997847233084724,58528.0,41859.0,33995.0
1,strec+ttime,rbu_0.990_0.050,0.7093019134098523,58528.0,41859.0,34220.0
1,p+ttime,act,0.7628889842049603,58528.0,35155.0,29827.0
1,p+ttime,nct,0.8529812574739104,58528.0,35155.0,31749.0
1,p+ttime,nEU,0.7391389765298894,58528.0,35155.0,29340.0
1,p+ttime,nsDCG,0.7743070773891924,58528.0,35155.0,30064.0
1,p+ttime,alpha-nDCG,0.8121951540182406,58528.0,35155.0,30864.0
1,p+ttime,nERR-IA,0.8098560779182983,58528.0,35155.0,30814.0
1,p+ttime,rbu_0.990_0.050,0.7973480343503482,58528.0,35155.0,30548.0
1,strec+p+ttime,act,0.8150021954288869,58528.0,33411.0,29390.0
1,strec+p+ttime,nct,0.9142956814007677,58528.0,33411.0,31484.0
1,strec+p+ttime,nEU,0.7713472740100151,58528.0,33411.0,28514.0
1,strec+p+ttime,nsDCG,0.8168173075071701,58528.0,33411.0,29427.0
1,strec+p+ttime,alpha-nDCG,0.8735856152363044,58528.0,33411.0,30608.0
1,strec+p+ttime,nERR-IA,0.8655504027424876,58528.0,33411.0,30438.0
1,strec+p+ttime,rbu_0.990_0.050,0.8541776138400916,58528.0,33411.0,30199.0
3,p,act,0.7555234434362821,58528.0,69471.0,58642.0
3,p,nct,0.7818516156217473,58528.0,69471.0,59722.0
3,p,nEU,0.5137256357406457,58528.0,69471.0,49593.0
3,p,nsDCG,0.7752416780507875,58528.0,69471.0,59449.0
3,p,alpha-nDCG,0.7806190902381742,58528.0,69471.0,59671.0
3,p,nERR-IA,0.7714995915308638,58528.0,69471.0,59295.0
3,p,rbu_0.990_0.050,0.6525693535779604,58528.0,69471.0,54603.0
3,strec,act,0.6054606951479317,58528.0,82648.0,62873.0
3,strec,nct,0.6257396004704329,58528.0,82648.0,63763.0
3,strec,nEU,0.39604318247639425,58528.0,82648.0,54378.0
3,strec,nsDCG,0.6322411867594173,58528.0,82648.0,64051.0
3,strec,alpha-nDCG,0.6716118732022508,58528.0,82648.0,65823.0
3,strec,nERR-IA,0.6527715913119859,58528.0,82648.0,64969.0
3,strec,rbu_0.990_0.050,0.4739954246062073,58528.0,82648.0,57397.0
3,ttime,act,-0.10166632151047046,58528.0,60211.0,28057.0
3,ttime,nct,0.129243994777936,58528.0,60211.0,32927.0
3,ttime,nEU,-0.08464422921406502,58528.0,60211.0,28390.0
3,ttime,nsDCG,-0.34355818324759463,58528.0,60211.0,23726.0
3,ttime,alpha-nDCG,-0.2568323619404815,58528.0,60211.0,25196.0
3,ttime,nERR-IA,-0.219918609068722,58528.0,60211.0,25849.0
3,ttime,rbu_0.990_0.050,0.18788704051463614,58528.0,60211.0,34293.0
3,strec+p,act,0.7875175507318115,58528.0,65915.0,56888.0
3,strec+p,nct,0.8120841784212847,58528.0,65915.0,57865.0
3,strec+p,nEU,0.5476479085927479,58528.0,65915.0,48174.0
3,strec+p,nsDCG,0.8169129127509535,58528.0,65915.0,58059.0
3,strec+p,alpha-nDCG,0.8376118346245564,58528.0,65915.0,58898.0
3,strec+p,nERR-IA,0.818700916128865,58528.0,65915.0,58131.0
3,strec+p,rbu_0.990_0.050,0.6751689318987836,58528.0,65915.0,52626.0
3,strec+ttime,act,0.5738660851391088,58528.0,34456.0,25644.0
3,strec+ttime,nct,0.7685561189489194,58528.0,34456.0,29349.0
3,strec+ttime,nEU,0.4621392490650141,58528.0,34456.0,23733.0
3,strec+ttime,nsDCG,0.3967926277635472,58528.0,34456.0,22682.0
3,strec+ttime,alpha-nDCG,0.5082031662562323,58528.0,34456.0,24503.0
3,strec+ttime,nERR-IA,0.5056691751728907,58528.0,34456.0,24460.0
3,strec+ttime,rbu_0.990_0.050,0.7214404635724044,58528.0,34456.0,28406.0
3,p+ttime,act,0.6949993159425606,58528.0,30206.0,24450.0
3,p+ttime,nct,0.8545413372792783,58528.0,30206.0,27309.0
3,p+ttime,nEU,0.5811045561710945,58528.0,30206.0,22594.0
3,p+ttime,nsDCG,0.5770121643383925,58528.0,30206.0,22530.0
3,p+ttime,alpha-nDCG,0.6271037823936755,58528.0,30206.0,23326.0
3,p+ttime,nERR-IA,0.6394208984533476,58528.0,30206.0,23526.0
3,p+ttime,rbu_0.990_0.050,0.8311611721161305,58528.0,30206.0,26870.0
3,strec+p+ttime,act,0.7462272556364941,58528.0,27483.0,23050.0
3,strec+p+ttime,nct,0.9003068355869795,58528.0,27483.0,25648.0
3,strec+p+ttime,nEU,0.6509547958508798,58528.0,27483.0,21577.0
3,strec+p+ttime,nsDCG,0.6603517571603074,58528.0,27483.0,21718.0
3,strec+p+ttime,alpha-nDCG,0.7323281702107991,58528.0,27483.0,22829.0
3,strec+p+ttime,nERR-IA,0.7223721683504499,58528.0,27483.0,22672.0
3,strec+p+ttime,rbu_0.990_0.050,0.8715025400365797,58528.0,27483.0,25141.0
2,p,act,0.7658441293477143,58528.0,72408.0,61560.0
2,p,nct,0.8099484704689112,58528.0,72408.0,63471.0
2,p,nEU,0.5285914849739748,58528.0,72408.0,52225.0
2,p,nsDCG,0.7888838465572375,58528.0,72408.0,62551.0
2,p,alpha-nDCG,0.7979426805234843,58528.0,72408.0,62945.0
2,p,nERR-IA,0.789552556260426,58528.0,72408.0,62580.0
2,p,rbu_0.990_0.050,0.722982762034213,58528.0,72408.0,59758.0
2,strec,act,0.6377224448959288,58528.0,83129.0,64669.0
2,strec,nct,0.6964974456547546,58528.0,83129.0,67358.0
2,strec,nEU,0.40698844864473344,58528.0,83129.0,55111.0
2,strec,nsDCG,0.6428443917954103,58528.0,83129.0,64899.0
2,strec,alpha-nDCG,0.6911114065241095,58528.0,83129.0,67107.0
2,strec,nERR-IA,0.6765482087637954,58528.0,83129.0,66433.0
2,strec,rbu_0.990_0.050,0.5942176192683698,58528.0,83129.0,62748.0
2,ttime,act,-0.15260852128663027,58528.0,60910.0,27398.0
2,ttime,nct,0.03292352683791289,58528.0,60910.0,31158.0
2,ttime,nEU,-0.07825781363293467,58528.0,60910.0,28847.0
2,ttime,nsDCG,-0.280084233702698,58528.0,60910.0,25081.0
2,ttime,alpha-nDCG,-0.18326228766750904,58528.0,60910.0,26822.0
2,ttime,nERR-IA,-0.15899412293052012,58528.0,60910.0,27277.0
2,ttime,rbu_0.990_0.050,0.0035484851231040735,58528.0,60910.0,30530.0
2,strec+p,act,0.8002821452550924,58528.0,68851.0,59950.0
2,strec+p,nct,0.8504417803801612,58528.0,68851.0,62071.0
2,strec+p,nEU,0.5551749951800921,58528.0,68851.0,50583.0
2,strec+p,nsDCG,0.822087839146266,58528.0,68851.0,60863.0
2,strec+p,alpha-nDCG,0.8524856857948442,58528.0,68851.0,62159.0
2,strec+p,nERR-IA,0.8369211222127912,58528.0,68851.0,61492.0
2,strec+p,rbu_0.990_0.050,0.7646383817862825,58528.0,68851.0,58487.0
2,strec+ttime,act,0.5372015540022108,58528.0,35500.0,25758.0
2,strec+ttime,nct,0.7205189508913006,58528.0,35500.0,29248.0
2,strec+ttime,nEU,0.4731832314154947,58528.0,35500.0,24640.0
2,strec+ttime,nsDCG,0.42822544920912525,58528.0,35500.0,23884.0
2,strec+ttime,alpha-nDCG,0.5601500265350661,58528.0,35500.0,26171.0
2,strec+ttime,nERR-IA,0.559157422309074,58528.0,35500.0,26153.0
2,strec+ttime,rbu_0.990_0.050,0.6509457420568718,58528.0,35500.0,27871.0
2,p+ttime,act,0.6819793584457776,58528.0,30880.0,24771.0
2,p+ttime,nct,0.823073486415016,58528.0,30880.0,27316.0
2,p+ttime,nEU,0.6224691506743544,58528.0,30880.0,23770.0
2,p+ttime,nsDCG,0.6309413774435477,58528.0,30880.0,23910.0
2,p+ttime,alpha-nDCG,0.6918465580354608,58528.0,30880.0,24941.0
2,p+ttime,nERR-IA,0.6984833651355979,58528.0,30880.0,25056.0
2,p+ttime,rbu_0.990_0.050,0.7691029899451781,58528.0,30880.0,26313.0
2,strec+p+ttime,act,0.7375624409708892,58528.0,28517.0,23774.0
2,strec+p+ttime,nct,0.8857069620520595,58528.0,28517.0,26345.0
2,strec+p+ttime,nEU,0.6716325365156111,58528.0,28517.0,22712.0
2,strec+p+ttime,nsDCG,0.6899998088529622,58528.0,28517.0,23003.0
2,strec+p+ttime,alpha-nDCG,0.7794276953048987,58528.0,28517.0,24474.0
2,strec+p+ttime,nERR-IA,0.7732840334019225,58528.0,28517.0,24370.0
2,strec+p+ttime,rbu_0.990_0.050,0.8316993101114992,58528.0,28517.0,25377.0
5,p,act,0.7424408218622833,58528.0,67169.0,56187.0
5,p,nct,0.7671094040486585,58528.0,67169.0,57156.0
5,p,nEU,0.4624374396087787,58528.0,67169.0,46275.0
5,p,nsDCG,0.7325988395250872,58528.0,67169.0,55805.0
5,p,alpha-nDCG,0.7429542638809378,58528.0,67169.0,56207.0
5,p,nERR-IA,0.7342266241680763,58528.0,67169.0,55868.0
5,p,rbu_0.990_0.050,0.5306947951294048,58528.0,67169.0,48517.0
5,strec,act,0.5609081227789966,58528.0,82149.0,60593.0
5,strec,nct,0.5556126851502522,58528.0,82149.0,60371.0
5,strec,nEU,0.3468290311322466,58528.0,82149.0,52237.0
5,strec,nsDCG,0.6160779505933883,58528.0,82149.0,62955.0
5,strec,alpha-nDCG,0.6482575138316279,58528.0,82149.0,64375.0
5,strec,nERR-IA,0.6256252992083865,58528.0,82149.0,63373.0
5,strec,rbu_0.990_0.050,0.27578638349036266,58528.0,82149.0,49727.0
5,ttime,act,-0.05172283649979718,58528.0,59404.0,28656.0
5,ttime,nct,0.21281275628372043,58528.0,59404.0,34423.0
5,ttime,nEU,-0.010725681633244586,58528.0,59404.0,29482.0
5,ttime,nsDCG,-0.4407495442594673,58528.0,59404.0,21883.0
5,ttime,alpha-nDCG,-0.3401725895078898,58528.0,59404.0,23463.0
5,ttime,nERR-IA,-0.2862236284364092,58528.0,59404.0,24357.0
5,ttime,rbu_0.990_0.050,0.4115117012618176,58528.0,59404.0,39506.0
5,strec+p,act,0.7781415739470252,58528.0,63028.0,54044.0
5,strec+p,nct,0.7870036755557224,58528.0,63028.0,54377.0
5,strec+p,nEU,0.5014712814008792,58528.0,63028.0,44613.0
5,strec+p,nsDCG,0.7952050374550598,58528.0,63028.0,54687.0
5,strec+p,alpha-nDCG,0.8148563034870449,58528.0,63028.0,55437.0
